Year,Filename,Num_Unique_Vars,Unique_Vars
2009,09zpallagi.csv,7,"NUMDEP,N01400,N01700,N07220,A01400,A07220,A01700"
2010,10zpallagi.csv,7,"NUMDEP,N01400,N01700,N07220,A01400,A07220,A01700"
2011,11zpallagi.csv,7,"NUMDEP,N01400,N01700,N07220,A01400,A07220,A01700"
2012,12zpallagi.csv,11,"MARS4,A00101,N01400,N01700,NUMDEP,N07220,A01400,N00101,A07220,MARS1,A01700"
2013,13zpallagi.csv,48,"A02650,A03240,MARS4,N03230,N02900,A00101,N03150,N10960,A03220,N05800,A10960,N03240,A03230,N03210,A09400,N85330,N09400,A10600,N01400,N01700,NUMDEP,A01400,A03210,N03270,MARS1,N26270,A01700,N07230,A07230,A26270,N85300,N10600,A07300,A00700,A07240,N07300,A03150,N07240,N02650,N07220,N03220,A05800,A02900,A03270,N00700,A85300,A85330,A07220"
2014,14zpallagi.csv,61,"A02650,A85530,A03240,N11560,MARS4,N03230,A85775,VITA,N02900,A00101,N03150,N10960,A03220,N05800,A10960,N03240,A03230,N03210,A09400,N09400,A10600,N01400,N01700,NUMDEP,TOTAL_VITA,A01400,A03210,N03270,MARS1,N26270,A01700,N07230,A07230,A26270,N85300,A09750,A07300,A00700,A07240,A11560,N07300,N10600,A85770,N85530,A03150,N09750,N07240,N02650,N07220,N03220,A05800,A02900,A03270,N00700,N85775,N85770,A85300,N05780,TCE,A05780,A07220"
2015,15zpallagi.csv,65,"A02650,A85530,A03240,N11560,MARS4,N03230,A85775,VITA,ELDERLY,A00101,N03150,N02900,N10960,A03220,N05800,VITA_EIC,A10960,N03240,A03230,N03210,A09400,N09400,A10600,N01400,N01700,NUMDEP,TOTAL_VITA,A01400,A03210,N03270,MARS1,N26270,A01700,N07230,A07230,A26270,N85300,A09750,A07300,A00700,A07240,A11560,N07300,N10600,RAL,A85770,N85530,A03150,N09750,N07240,N02650,N07220,N03220,A05800,A02900,A03270,N00700,N85775,N85770,A85300,N05780,TCE,A05780,RAC,A07220"
2016,16zpallagi.csv,81,"N03230,N21020,N01400,A03210,MARS1,A09750,A07240,A11560,A85770,N09750,N02650,A05800,A02900,N00700,N85770,A85300,A20800,A07220,A19500,N18800,A03240,A85775,N10960,A21020,A10960,N03240,A10600,N01700,N20800,N26270,A17000,N19570,A07230,A00700,N07240,A03270,N19550,A05780,A02650,N19530,A00101,N03150,A03220,A03230,A09400,A01700,N07230,A07300,N07300,N19500,N85530,N85775,TCE,N17000,A19550,N11560,A85530,MARS4,VITA,ELDERLY,N02900,N05800,VITA_EIC,N03210,A19570,N09400,NUMDEP,TOTAL_VITA,A01400,N03270,N85300,A26270,N10600,RAL,A03150,A19530,N07220,N03220,A18800,N05780,RAC"
2017,17zpallagi.csv,87,"DIR_DEP,N03230,N01400,A03210,MARS1,A09750,A07240,A11560,A85770,N09750,N02650,A05800,A02900,N00700,N85770,A85300,A20800,A07220,N11900,A19500,N18800,A03240,N12000,A85775,N10960,A10960,N03240,A10600,N01700,N20800,N26270,A17000,N19570,A07230,A00700,N07240,A03270,N19550,A05780,A02650,N19530,A00101,N03150,A03220,A03230,A09400,A01700,N07230,A07300,N07300,N19500,N85530,N85775,TCE,N20950,N17000,A19550,N11560,A85530,MARS4,VITA,ELDERLY,N02900,N05800,VITA_EIC,N03210,A19570,N09400,NUMDEP,TOTAL_VITA,CPREP,A01400,N03270,A11900,N85300,A26270,N10600,A12000,A03150,ELF,A19530,A20950,N07220,N03220,A18800,N05780,RAC"
2018,18zpallagi.csv,87,"DIR_DEP,N07225,A03210,MARS1,A09750,A07240,A11560,A85770,N09750,N02650,A05800,A02900,N00700,N85770,A85300,N11900,A04475,A19500,N18800,N12000,A18460,A85775,N10960,A10960,A10600,N26270,A17000,N19570,A07230,A00700,A07225,N07240,A03270,N01750,A05780,A02650,N04200,N19530,A00101,N03150,A03220,A04450,A09400,N07230,A07300,N07300,N19500,N85530,A04200,N85775,TCE,N20950,N04450,N17000,A85530,N11560,MARS4,VITA,ELDERLY,N02900,N05800,VITA_EIC,N03210,A19570,N04475,N09400,NUMDEP,TOTAL_VITA,CPREP,N03270,A04100,A11900,N85300,A26270,N10600,A01750,A12000,A03150,ELF,A19530,A20950,N03220,A18800,N05780,N18460,N04100,RAC"
2019,19zpallagi.csv,86,"DIR_DEP,N07225,N01400,A03210,MARS1,A07240,A11560,A85770,N02650,A05800,A02900,N00700,N85770,A85300,N11900,A04475,A19500,N18800,N12000,A18460,A85775,N10960,A10960,A10600,N01700,N26270,A17000,N19570,A07230,A00700,A07225,N07240,A03270,A05780,A02650,N04200,N19530,A00101,N03150,A03220,A04450,A09400,A01700,N07230,A07300,N07300,N19500,N85530,A04200,N85775,TCE,N20950,N04450,N17000,A85530,N11560,MARS4,VITA,ELDERLY,N02900,N05800,VITA_EIC,N03210,A19570,N04475,N09400,TOTAL_VITA,CPREP,A01400,N03270,A04100,A11900,A26270,N85300,N10600,A12000,A03150,ELF,A19530,A20950,N03220,A18800,N05780,N18460,N04100,RAC"
2020,20zpallagi.csv,99,"DIR_DEP,N07225,A10971,N01400,A03210,MARS1,A07240,A11560,N02910,A85770,N02650,A05800,A02900,N00700,N85770,A85300,N11900,A04475,A19500,N18800,N12000,A18460,A85775,N10960,N10971,A10960,A10973,A10600,N01700,N26270,A17000,N19570,A07230,A00700,A07225,N07240,N10973,VRTCRIND,A03270,N19550,N11450,A05780,A11450,A02650,N04200,N19530,A00101,N03150,A03220,A04450,A09400,A10970,A01700,N07230,A07300,N07300,N19500,N85530,A02910,A04200,N85775,TCE,N20950,N04450,N17000,A19550,N11560,N10970,A85530,MARS4,VITA,ELDERLY,N02900,N05800,VITA_EIC,N03210,A19570,N04475,N09400,TOTAL_VITA,CPREP,A01400,N03270,A04100,A11900,A26270,N85300,N10600,A12000,A03150,ELF,A19530,A20950,N03220,A18800,N05780,N18460,N04100,RAC"
2021,21zpallagi.csv,101,"DIR_DEP,N07225,A10971,N01400,A03210,MARS1,A07240,A11560,N02910,A85770,N02650,A05800,A02900,N00700,N85770,A85300,N11900,A04475,A19500,N18800,N12000,A18460,A85775,N10960,A11530,N10971,A10960,A10600,N01700,N26270,A17000,N19570,A07230,A00700,A07225,N07240,N11530,VRTCRIND,A03270,N19550,N11450,A05780,A11450,A02650,N04200,N19530,A00101,N03150,A03220,A04450,A09400,A10970,A01700,N07230,A07300,N07300,N19500,N85530,A02910,A04200,N85775,TCE,N20950,N04450,N17000,A19550,N11560,N10970,A85530,MARS4,VITA,ELDERLY,N02900,N05800,VITA_EIC,N03210,A19570,N04475,N09400,TOTAL_VITA,CPREP,A01400,N03270,A04100,N11520,A11900,A26270,N85300,N10600,A12000,A03150,ELF,A19530,A20950,N03220,A18800,N05780,N18460,A11520,N04100,RAC"
