"XGBoost KWH Feature","XGBoost KWH Importance","GBDT KWH Feature","GBDT KWH Importance"
"AVERAGE.STORIES",0.289,"AVERAGE.STORIES",26.032
"A07100_av",0.144,"RATIO.OWNED",16.856
"RATIO.OWNED",0.139,"A07100_av",9.614
"N07260_av",0.097,"AVERAGE.BUILDING.AGE",4.365
"AVERAGE.BUILDING.AGE",0.062,"N00900_av",4.031
"AVERAGE.HOUSESIZE",0.054,"AVERAGE.HOUSESIZE",3.948
"SCHF_av",0.052,"N02500_av",2.767
"Latitude",0.027,"N01700_av",2.734
"Longitude",0.022,"A11902_av",2.461
"N07180_av",0.018,"Longitude",2.459
"N00900_av",0.015,"A07260_av",2.32
"N01700_av",0.009,"A01700_av",2.27
"A01700_av",0.009,"Latitude",1.732
"OCCUPIED.HOUSING.UNITS",0.007,"PREP",1.718
"A00900_av",0.007,"N1",1.651
