"Feature","Gain","var","rel.inf"
"AVERAGE.HOUSESIZE",0.218,"AVERAGE.HOUSESIZE",12.327
"AVERAGE.STORIES",0.117,"N01400_av",7.718
"OCCUPIED.HOUSING.UNITS",0.056,"Latitude",7.205
"AVERAGE.BUILDING.AGE",0.052,"AVERAGE.STORIES",6.522
"Latitude",0.048,"N00200_av",5.231
"A11902_av",0.042,"A00600_av",4.738
"RATIO.OWNED",0.04,"A07260_av",4.159
"N11070_av",0.036,"N02300_av",3.873
"A00100_av",0.029,"N07260_av",3.673
"N01000_av",0.028,"Longitude",3.408
"Longitude",0.024,"N01000_av",3.208
"N09600_av",0.022,"N00900_av",2.654
"A01400_av",0.021,"A01000_av",2.542
"N00200_av",0.021,"N01700_av",2.514
"N1",0.02,"A11902_av",2.194
