"zip","YEAR","BUILDING_SUBTYPE","Latitude","Longitude","THERM.JANUARY.2010","THERM.FEBRUARY.2010","THERM.NOVEMBER.2010","THERM.DECEMBER.2010","TOTAL.THERMS","THERMS.TOTAL.SQFT","THERMS.SQFT.STANDARD.DEVIATION.2010","THERMS.SQFT.MEAN.2010","KWH.JANUARY.2010","KWH.FEBRUARY.2010","KWH.NOVEMBER.2010","KWH.DECEMBER.2010","TOTAL.KWH","KWH.TOTAL.SQFT","KWH.MEAN.2010","KWH.SQFT.STANDARD.DEVIATION.2010","TOTAL.POPULATION","TOTAL.UNITS","OCCUPIED.HOUSING.UNITS","RENTER.OCCUPIED.HOUSING.UNITS","AVERAGE.STORIES","AVERAGE.BUILDING.AGE","STATE","RETURN_YEAR","N1","MARS2","PREP","N2","A00100","A00100_av","N00200","N00200_av","A00200","A00200_av","N00300","N00300_av","A00300","A00300_av","N00600","N00600_av","A00600","A00600_av","N00650","N00650_av","A00650","A00650_av","N00900","N00900_av","A00900","A00900_av","N01000","N01000_av","A01000","A01000_av","N01400","N01400_av","A01400","A01400_av","N01700","N01700_av","A01700","A01700_av","SCHF","SCHF_av","N02300","N02300_av","A02300","A02300_av","N02500","N02500_av","A02500","A02500_av","N03300","N03300_av","A03300","A03300_av","N04470","N04470_av","A04470","A04470_av","N18425","N18425_av","A18425","A18425_av","N18450","N18450_av","A18450","A18450_av","N18500","N18500_av","A18500","A18500_av","N18300","N18300_av","A18300","A18300_av","N19300","N19300_av","A19300","A19300_av","N19700","N19700_av","A19700","A19700_av","N04800","N04800_av","A04800","A04800_av","N09600","N09600_av","A09600","A09600_av","N07100","N07100_av","A07100","A07100_av","N07180","N07180_av","A07180","A07180_av","N07260","N07260_av","A07260","A07260_av","N59660","N59660_av","A59660","A59660_av","N59720","N59720_av","A59720","A59720_av","N11070","N11070_av","A11070","A11070_av","N06500","N06500_av","A06500","A06500_av","N10300","N10300_av","A10300","A10300_av","N11901","N11901_av","A11901","A11901_av","N11902","N11902_av","A11902","A11902_av","NUMDEP","NUMDEP_av"
"60018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IL",2009,14346,5526,9358,31526,696156,48.5261396905061,11903,0.829708629583159,486007,33.8775268367489,6028,0.420186811654817,15221,1.06099261118082,2954,0.205911055346438,9771,0.681095775826014,2572,0.179283423950927,6065,0.422765927784748,1940,0.13522933221804,17626,1.22863515962638,1754,0.122264045727032,602,0.0419629164924021,1028,0.0716576049072912,10794,0.752404851526558,2358,0.164366373902133,39961,2.78551512616757,0,0,1341,0.0934755332496863,12042,0.83939774153074,1437,0.100167294019239,15640,1.09019935870626,32,0.00223058692318416,554,0.0386170361076258,4407,0.307193642827269,110527,7.70437752683675,3154,0.219852223616339,15994,1.11487522654398,816,0.0568799665411962,1081,0.075352014498815,4031,0.280984246479855,20886,1.45587620242576,4387,0.305799526000279,40103,2.7954133556392,3550,0.247455736790743,39222,2.73400250941029,3475,0.24222779868953,12167,0.848110971699428,10181,0.709675170779311,420213,29.2913007109996,145,0.0101073469956782,420,0.0292764533667921,4864,0.339049212323993,11855,0.826362749198383,551,0.0384079185835773,318,0.0221664575491426,828,0.0577164366373902,680,0.0473999721176635,2290,0.159626376690367,4635,0.323086574654956,1850,0.128955806496584,3820,0.266276313955109,2726,0.190018123518751,4282,0.298480412658581,8580,0.598076118778754,68288,4.760072494075,9641,0.672034016450579,71768,5.00264882197128,1921,0.133904921232399,4013,0.279729541335564,11608,0.809145406385055,32501,2.26550954970027,10658,0.742924857103025
"60068",2010,"Single Family",42.01579,-87.84283,637262,506191,159599,382217,2779621,3046231,63620.62,239694.65,907545,1044275,1651641,1851896,18817399,2934190,1478120.42,64162.64,6973,3012,2876,527,1.34525974025974,69.8283766233766,"IL",2009,18641,8690,11477,37497,1770752,94.9923287377287,14171,0.760205997532321,1162254,62.3493374818948,12552,0.673354433775012,54065,2.90032723566332,9043,0.485113459578349,58445,3.13529317096722,8174,0.438495788852529,45250,2.42744487956655,3277,0.175795289952256,63457,3.40416286679899,6216,0.333458505444987,65607,3.5195000268226,2269,0.121720937717934,37528,2.01319671691433,4298,0.23056702966579,103560,5.5554959497881,28,0.00150206533984228,1130,0.0606190655007779,11142,0.597714714875811,3381,0.181374389785956,45923,2.46354809291347,395,0.0211898503299179,9532,0.51134595783488,10097,0.541655490585269,322777,17.3154337213669,6979,0.374389785955689,40321,2.1630277345636,2013,0.107987768896518,2622,0.140657690038088,9599,0.51494018561236,85691,4.59691003701518,10078,0.540636231961805,137873,7.39622337857411,7187,0.385547985623089,106516,5.71407113352288,8990,0.48227026447079,33534,1.79893782522397,14712,0.789228045705702,1287148,69.0492999302613,1782,0.0955957298428196,8131,0.436189045652057,6849,0.367415911163564,8327,0.446703503030953,729,0.039107344026608,373,0.0200096561343276,1473,0.0790193659138458,1353,0.0725819430288075,1140,0.0611555174078644,1850,0.099243602811008,820,0.0439890563810954,1301,0.0697923931119575,920,0.0493535754519607,1198,0.0642669384689663,13536,0.726141301432327,275308,14.7689501636178,14549,0.780483879620192,289170,15.5125797972212,3828,0.205353790032724,23834,1.27857947535003,12391,0.664717558070919,48483,2.60087978112762,12123,0.650340646961
"60171",2010,"Single Family",41.92299,-87.83988,196698,164496,60540,151143,901931,1047191,26861.5,91908.7,389486,355384,559001,696130,6845185,1031518,610852.44,27767.12,2351,918,881,109,1.22044117647059,57.0914705882353,"IL",2009,5223,1760,3161,9637,192639,36.8828259620908,3838,0.734826727934138,145512,27.8598506605399,2147,0.411066436913651,3290,0.629906184185334,760,0.145510243155275,1487,0.28470227838407,650,0.124449550067011,831,0.159103963239518,1241,0.237602910204863,11229,2.14991384261918,407,0.0779245644265748,366,0.0700746697300402,380,0.0727551215776374,4135,0.791690599272449,828,0.158529580700747,12877,2.46544131725062,0,0,435,0.0832854681217691,3970,0.760099559640054,467,0.0894122152019912,4365,0.835726593911545,0,0,0,0,1425,0.27283170591614,27233,5.21405322611526,1038,0.198736358414704,2148,0.411257897759908,283,0.0541834194907141,338,0.0647137660348459,1300,0.248899100134023,5403,1.03446295232625,1416,0.271108558299828,8300,1.58912502393261,1181,0.226115259429447,11811,2.26134405514072,1082,0.20716063565001,2055,0.393452039058013,3724,0.713000191460846,109027,20.8744016848554,21,0.00402067777139575,38,0.00727551215776374,1558,0.298295998468313,1737,0.332567489948306,138,0.0264215967834578,79,0.0151254068542983,279,0.0534175761056864,208,0.0398238560214436,1096,0.209841087497607,1991,0.381198544897568,745,0.142638330461421,1362,0.260769672601953,680,0.13019337545472,826,0.158146659008233,3243,0.620907524411258,14867,2.84644840130193,4029,0.771395749569213,16814,3.2192226689642,1024,0.196055906567107,1284,0.245835726593912,3886,0.744016848554471,10131,1.93968983342906,2794,0.534941604441892
"60406",2010,"Single Family",41.65123,-87.68227,273325,235793,74008,204682,1270928,1315826,27940.48,106341.42,597451,506219,910256,855390,9625317,1302582,765991.98,28442.26,2793,1119,1072,105,1.30227848101266,58.0862025316456,"IL",2009,10812,2760,6703,24954,355240,32.8560858305586,9464,0.875323714391417,299156,27.6688864224935,2633,0.243525712171661,2978,0.27543470218276,814,0.0752867184609693,1285,0.118849426563078,658,0.0608583055863855,895,0.0827783943766186,1300,0.120236773954865,6180,0.571587125416204,394,0.036440991490936,1183,0.109415464298927,422,0.0390307066222716,4169,0.38559008509064,1688,0.156122826489086,23156,2.1416944136145,0,0,1476,0.136514983351831,13774,1.27395486496485,601,0.0555863854975953,5204,0.481317055123936,0,0,0,0,2341,0.216518682944876,40865,3.77959674435812,1867,0.17267850536441,3285,0.303829078801332,306,0.0283018867924528,415,0.0383832778394377,1948,0.180170181280059,7041,0.651220865704772,2337,0.2161487236404,11385,1.05299667036626,1866,0.172586015538291,14743,1.36357750647429,1854,0.171476137624861,5324,0.492415834258232,7371,0.681742508324084,178025,16.4655012948576,37,0.0034221235664077,58,0.00536440991490936,3822,0.353496115427303,4155,0.384295227524972,610,0.0564187939326674,385,0.0356085830558639,477,0.0441176470588235,329,0.0304291527931927,3180,0.294117647058824,7797,0.721143174250832,2913,0.269422863485017,6922,0.640214576396596,3300,0.305216426193119,4702,0.434887162412135,5569,0.515075841657418,21591,1.99694783573807,6455,0.597021827598964,23287,2.15381058083611,894,0.0826859045504994,1338,0.123751387347392,9632,0.89086200517943,30518,2.82260451350351,9855,0.911487236403996
"60453",2010,"Single Family",41.70891,-87.75952,468568,367183,112545,278775,2068573,2168369,21488.82,76770,975030,974627,1731807,1470575,17232944,2069623,630312.6,21595.89,5421,1974,1917,68,1.21863636363636,50.6198484848485,"IL",2009,28311,10535,16953,54266,1416318,50.0271272650207,22038,0.778425347038254,1043613,36.8624562890749,14177,0.50075942213274,37424,1.32188901840274,7308,0.25813288121225,21922,0.774327999717424,6273,0.221574652961746,16346,0.577372752640317,3654,0.129066440606125,40818,1.44177174949666,3818,0.134859241990746,7143,0.252304757867967,2871,0.101409346190527,30746,1.08600897177775,6961,0.245876161209424,140203,4.95224471053654,0,0,2584,0.0912719437674402,24291,0.858005722157465,4040,0.142700717035781,41734,1.47412666454735,87,0.00307301049062202,1137,0.0401610681360602,10710,0.378298187983469,211802,7.48126170039914,7589,0.268058351877362,19989,0.706050651690156,1886,0.0666172159231394,2233,0.0788739359259652,10060,0.35533891420296,45381,1.60294585143584,10678,0.377167885274275,73045,2.58009254353432,8841,0.312281445374589,82412,2.91095333969129,9092,0.321147257249832,20075,0.709088340221115,21768,0.768888417929427,906110,32.0055808696266,349,0.0123273639221504,1093,0.038606901910918,9453,0.33389848468793,11927,0.421285012892515,848,0.0299530217936491,459,0.0162127794850058,2335,0.082476775811522,1793,0.0633322736745435,3758,0.132739924411006,8183,0.289039595916781,3138,0.110840309420367,6384,0.225495390484264,2818,0.0995372823284236,3748,0.132386704814383,19559,0.690862209035357,140326,4.95658931157501,21345,0.753947228992265,147891,5.22379993642047,4074,0.1439016636643,10943,0.38652820458479,22410,0.791565116032637,66182,2.3376779343718,16822,0.594186005439582
"60455",2010,"Single Family",41.73701,-87.80485,4300,3984,1086,3307,20210,20399,120.17,1199.94,21315,18034,27544,42478,312641,18003,20842.73,125.04,0,0,0,0,1,27.35,"IL",2009,7290,2898,4706,15618,288841,39.621536351166,5745,0.788065843621399,226061,31.0097393689986,2852,0.39122085048011,4233,0.580658436213992,971,0.133196159122085,1530,0.209876543209877,830,0.113854595336077,1003,0.13758573388203,1357,0.186145404663923,15401,2.11262002743484,491,0.0673525377229081,148,0.0203017832647462,409,0.0561042524005487,4199,0.57599451303155,1301,0.178463648834019,20144,2.76323731138546,0,0,712,0.0976680384087791,6404,0.878463648834019,670,0.0919067215363512,6021,0.825925925925926,0,0,0,0,1994,0.273525377229081,38982,5.34732510288066,1475,0.202331961591221,3408,0.467489711934156,319,0.043758573388203,406,0.0556927297668038,1810,0.248285322359396,7805,1.07064471879287,1992,0.273251028806584,12292,1.68614540466392,1708,0.234293552812071,17222,2.36241426611797,1593,0.218518518518519,3173,0.435253772290809,5138,0.70480109739369,164555,22.5727023319616,35,0.00480109739368999,82,0.0112482853223594,2278,0.312482853223594,2742,0.376131687242798,178,0.0244170096021948,114,0.0156378600823045,512,0.0702331961591221,383,0.0525377229080933,1714,0.235116598079561,4325,0.593278463648834,1418,0.194513031550069,3199,0.438820301783265,1279,0.175445816186557,1883,0.258299039780521,4480,0.614540466392318,22459,3.08079561042524,5420,0.743484224965706,24908,3.41673525377229,1047,0.143621399176955,1979,0.271467764060357,5996,0.822496570644719,17768,2.43731138545953,5523,0.75761316872428
"60601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IL",2009,6039,1535,3119,8448,1075432,178.081139261467,5027,0.832422586520947,679595,112.534359993376,3559,0.589335982778606,28216,4.67229673787051,2443,0.404537175028978,67366,11.1551581387647,2206,0.365292266931611,59604,9.86984600099354,972,0.160953800298063,32851,5.43980791521775,1991,0.329690346083789,71226,11.7943368107303,391,0.0647458188441795,11922,1.97416790859414,878,0.145388309322736,27312,4.52260307998013,0,0,317,0.0524921344593476,2564,0.424573604901474,693,0.114754098360656,10634,1.76088756416625,144,0.0238450074515648,3989,0.660539824474251,2748,0.455042225534029,170678,28.2626262626263,2044,0.338466633548601,34983,5.79284649776453,411,0.0680576254346746,854,0.141414141414141,1972,0.326544129822818,16347,2.70690511674118,2738,0.453386322238781,56198,9.30584533863222,1681,0.278357343931114,28050,4.6448087431694,2173,0.359827786057294,56101,9.28978307666832,5398,0.893856598774632,859739,142.364464315284,525,0.0869349230004968,9239,1.52988905447922,1615,0.267428382182481,5886,0.974664679582712,64,0.0105977810895844,33,0.00546448087431694,54,0.00894187779433681,56,0.00927305845338632,203,0.0336148368935254,178,0.0294750786554065,152,0.0251697300877629,135,0.022354694485842,65,0.0107633714191091,72,0.0119225037257824,5187,0.858917039244908,223265,36.9705249213446,5338,0.883921179003146,231394,38.3166087100513,1383,0.229011425732737,11930,1.97549263123034,4089,0.677098857426726,22912,3.7940056300712,1030,0.170558039410498
"60602",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IL",2009,1501,247,1041,1888,227834,151.788141239174,685,0.456362425049967,100050,66.655562958028,1105,0.736175882744837,8486,5.65356429047302,625,0.4163890739507,15117,10.0712858094604,556,0.370419720186542,12203,8.12991339107262,178,0.118587608261159,10615,7.07195203197868,596,0.397068620919387,22835,15.2131912058628,131,0.0872751499000666,3751,2.49900066622252,445,0.296469020652898,10455,6.9653564290473,0,0,24,0.0159893404397069,208,0.138574283810793,255,0.169886742171885,3250,2.16522318454364,59,0.039307128580946,2359,1.57161892071952,664,0.442371752165223,47971,31.9593604263824,414,0.275816122584943,8078,5.381745502998,181,0.120586275816123,186,0.123917388407728,433,0.288474350433045,4263,2.84010659560293,634,0.42238507661559,13895,9.25716189207195,322,0.2145236508994,6415,4.27381745502998,395,0.263157894736842,11670,7.77481678880746,931,0.620253164556962,177353,118.156562291805,117,0.0779480346435709,1238,0.824783477681546,314,0.209193870752831,665,0.443037974683544,0,0,0,0,21,0.0139906728847435,24,0.0159893404397069,51,0.0339773484343771,47,0.0313124583610926,44,0.0293137908061292,41,0.0273151232511659,0,0,0,0,866,0.576948700866089,47522,31.6602265156562,900,0.599600266489007,49779,33.163890739507,295,0.19653564290473,4366,2.90872751499001,762,0.507661558960693,9823,6.54430379746835,193,0.128580946035976
"60605",2010,"Single Family",41.86467,-87.61999,156945,63477,58938,147214,719835,1497310,29996.46,114653.16,464571,463844,518956,684323,6748239,1442791,617638.16,27573.58,8511,5212,4558,1373,1.14428571428571,1.42571428571429,"IL",2009,11499,3019,5439,16610,1193398,103.782763718584,10267,0.89286024871728,973888,84.6932776763197,6295,0.547438907731107,16346,1.42151491434038,4032,0.350639186016175,17383,1.51169666927559,3613,0.31420123488999,11344,0.986520567005827,1982,0.172362814157753,39707,3.45308287677189,2877,0.250195669188625,60272,5.24149926080529,566,0.0492216714496913,12304,1.07000608748587,1416,0.123141142708062,40970,3.56291851465345,0,0,708,0.0615705713540308,5922,0.515001304461257,627,0.0545264805635273,8398,0.730324376032699,213,0.0185233498565093,4646,0.404035133489869,5860,0.509609531263588,166647,14.4923036785807,4768,0.414644751717541,27309,2.37490216540569,554,0.0481781024436908,937,0.0814853465518741,4929,0.428645969214714,25191,2.1907122358466,5837,0.50760935733542,57492,4.9997391077485,4875,0.423949908687712,74468,6.4760413949039,4790,0.416557961561875,18883,1.64214279502565,10290,0.894860422645447,938480,81.6140533959475,676,0.0587877206713627,2641,0.229672145403948,2945,0.256109226889295,4380,0.38090268719019,297,0.0258283328985129,169,0.0146969301678407,278,0.0241760153056788,246,0.0213931646230107,545,0.0473954256891904,527,0.0458300721801896,408,0.0354813462040177,417,0.0362640229585181,170,0.0147838942516741,197,0.0171319245151752,9897,0.86068353769893,208039,18.0919210366119,10212,0.888077224106444,215265,18.7203235063919,2308,0.200713105487434,12667,1.10157404991738,8597,0.747630228715541,32237,2.80346117053657,2272,0.197582398469432
"60606",2010,"Single Family",41.88293,-87.63684,13956,12487,3485,10917,60647,101799,1135.88,34872.08,48825,42468,42732,73403,614363,97380,215786.63,1106.84,373,204,199,24,1.2,22.2,"IL",2009,2271,553,1275,3132,777517,342.367679436372,1839,0.809775429326288,270735,119.214002642008,1410,0.620871862615588,37621,16.5658300308234,1090,0.479964773227653,59960,26.4024658740643,990,0.435931307793923,47252,20.8066930867459,368,0.162043152796125,176750,77.8291501541171,856,0.376926464112726,100696,44.3399383531484,117,0.0515191545574637,4371,1.92470277410832,252,0.110964332892999,8031,3.53632760898283,0,0,112,0.0493174812857772,823,0.362395420519595,174,0.0766182298546896,3302,1.45398502862175,80,0.0352267723469837,2913,1.28269484808454,1215,0.535006605019815,182375,80.3060325847644,1004,0.442095992954646,58010,25.5438132981066,93,0.0409511228533686,285,0.125495376486129,941,0.414354909731396,9551,4.20563628357552,1200,0.528401585204756,69887,30.7736679876706,819,0.360634081902246,14670,6.45970937912814,945,0.416116248348745,72109,31.7520915896081,2019,0.889035667107001,584996,257.594011448701,273,0.120211360634082,7248,3.19154557463672,638,0.280933509467195,4334,1.90841039189784,29,0.0127697049757816,18,0.00792602377807133,38,0.0167327168648173,118,0.051959489211801,77,0.0339057683839718,69,0.0303830911492734,56,0.0246587406428886,57,0.0250990752972259,28,0.0123293703214443,35,0.0154117129018054,1935,0.852047556142668,162827,71.6983707617789,1999,0.880228974020255,172894,76.1312197269925,462,0.203434610303831,3895,1.71510347864377,1473,0.648612945838838,13334,5.87142228093351,407,0.17921620431528
