"ZIPCODE","STATE","YEAR","Latitude","Longitude","A00100","A07260"
0,"AK",2009,NA,NA,16133072,15533
99501,"AK",2009,61.22,-149.85,496202,238
99502,"AK",2009,61.16,-149.99,790156,653
99503,"AK",2009,61.18,-149.88,414973,264
99504,"AK",2009,61.2,-149.75,952657,999
99505,"AK",2009,61.26,-149.6,55250,0
99506,"AK",2009,61.27,-149.79,110000,22
99507,"AK",2009,61.14,-149.76,1213900,968
99508,"AK",2009,61.2,-149.82,749332,657
99515,"AK",2009,61.11,-149.9,845619,663
99516,"AK",2009,61.08,-149.7,1088503,1059
99517,"AK",2009,61.19,-149.94,533496,496
99518,"AK",2009,61.15,-149.88,289377,225
99540,"AK",2009,61,-149.43,8015,0
99556,"AK",2009,59.82,-151.59,53554,72
99567,"AK",2009,61.41,-149.17,282245,424
99568,"AK",2009,60.21,-151.4,6293,0
99572,"AK",2009,60.49,-149.82,12473,0
99573,"AK",2009,61.68,-145.14,21687,30
99577,"AK",2009,61.21,-149.25,944521,1100
99586,"AK",2009,62.83,-143.43,10588,0
99588,"AK",2009,62.1,-145.53,31635,40
99603,"AK",2009,59.4,-151.32,294488,391
99605,"AK",2009,60.84,-149.4,3694,0
99610,"AK",2009,60.28,-151.26,66469,85
99611,"AK",2009,60.66,-150.9,367699,415
99615,"AK",2009,57.79,-152.4,338481,276
99631,"AK",2009,60.57,-149.45,7102,0
99639,"AK",2009,60.07,-151.42,27579,32
99645,"AK",2009,61.62,-148.98,741440,721
99654,"AK",2009,61.52,-149.57,875172,856
99664,"AK",2009,60.05,-149.33,135796,97
99669,"AK",2009,60.32,-150.79,471811,487
99672,"AK",2009,60.54,-150.79,89725,93
99674,"AK",2009,61.74,-148.22,30253,30
99676,"AK",2009,62.45,-149.79,38017,60
99686,"AK",2009,61.15,-146.81,139334,133
99688,"AK",2009,61.89,-149.73,60009,144
99701,"AK",2009,64.81,-147.72,382154,372
99702,"AK",2009,64.67,-147.04,43633,0
99703,"AK",2009,64.83,-147.62,81398,26
99705,"AK",2009,64.77,-147.33,498991,583
99709,"AK",2009,64.9,-148.16,655656,870
99712,"AK",2009,64.93,-146.61,284633,385
99714,"AK",2009,64.37,-146.59,24552,33
99737,"AK",2009,63.7,-144.89,105880,121
99743,"AK",2009,63.68,-150.03,30418,22
99760,"AK",2009,64.47,-148.57,17916,22
99780,"AK",2009,63.18,-143.1,37087,48
99801,"AK",2009,58.58,-134.77,651517,782
99824,"AK",2009,58.26,-134.4,69394,62
99827,"AK",2009,59.16,-135.86,61756,66
99835,"AK",2009,56.73,-135,248934,178
99901,"AK",2009,55.61,-131.58,341608,233
0,"AL",2009,NA,NA,92733840,84322
35004,"AL",2009,33.59,-86.49,229972,170
35005,"AL",2009,33.59,-86.95,127578,164
35006,"AL",2009,33.42,-87.19,56121,41
35007,"AL",2009,33.22,-86.82,589187,612
35010,"AL",2009,32.92,-85.93,359780,315
35014,"AL",2009,33.36,-86.26,61532,78
35016,"AL",2009,34.32,-86.5,316914,531
35019,"AL",2009,34.26,-86.61,32931,58
35020,"AL",2009,33.37,-86.96,268024,258
35022,"AL",2009,33.32,-86.97,461611,379
35023,"AL",2009,33.43,-86.99,459705,470
35031,"AL",2009,34.08,-86.58,105780,111
35033,"AL",2009,33.93,-87.03,56855,65
35034,"AL",2009,32.94,-87.17,52524,56
35035,"AL",2009,33.06,-86.98,25367,0
35040,"AL",2009,33.1,-86.75,311069,190
35042,"AL",2009,32.95,-87.13,89313,94
35043,"AL",2009,33.31,-86.66,287800,165
35044,"AL",2009,33.27,-86.35,113241,134
35045,"AL",2009,32.84,-86.62,213982,173
35046,"AL",2009,32.93,-86.53,119468,104
35049,"AL",2009,33.99,-86.57,65652,57
35051,"AL",2009,33.17,-86.6,168794,104
35053,"AL",2009,34.07,-87.05,52559,48
35054,"AL",2009,33.5,-86.34,94709,102
35055,"AL",2009,34.17,-86.83,328027,355
35057,"AL",2009,34.18,-86.93,214115,244
35058,"AL",2009,34.23,-86.74,173666,206
35061,"AL",2009,33.47,-86.96,22192,34
35062,"AL",2009,33.73,-87.08,153219,171
35063,"AL",2009,33.84,-87.01,47543,46
35064,"AL",2009,33.47,-86.91,158123,221
35068,"AL",2009,33.61,-86.8,142458,135
35071,"AL",2009,33.66,-86.8,382798,357
35072,"AL",2009,33.06,-86.05,65020,61
35073,"AL",2009,33.62,-86.96,36952,57
35077,"AL",2009,34.06,-86.76,180336,244
35078,"AL",2009,33.34,-86.43,36947,33
35079,"AL",2009,33.89,-86.75,153876,140
35080,"AL",2009,33.28,-86.85,424904,337
35083,"AL",2009,34.17,-86.61,43220,57
35085,"AL",2009,32.96,-86.74,139423,98
35087,"AL",2009,34.31,-86.58,29891,49
35089,"AL",2009,32.97,-86.09,24524,21
35091,"AL",2009,33.78,-86.79,59642,33
35094,"AL",2009,33.54,-86.56,292198,256
35096,"AL",2009,33.59,-86.13,136656,164
35097,"AL",2009,33.9,-86.62,32522,45
35098,"AL",2009,34.12,-87.05,19792,32
35111,"AL",2009,33.28,-87.12,359863,317
35114,"AL",2009,33.22,-86.87,156215,103
35115,"AL",2009,33.1,-86.85,197699,169
35116,"AL",2009,33.74,-86.8,124927,114
35117,"AL",2009,33.67,-86.89,143234,131
35118,"AL",2009,33.54,-86.97,61936,49
35120,"AL",2009,33.68,-86.39,255164,200
35121,"AL",2009,33.95,-86.47,268013,235
35124,"AL",2009,33.3,-86.79,689706,430
35125,"AL",2009,33.63,-86.29,164532,146
35126,"AL",2009,33.72,-86.65,467417,501
35127,"AL",2009,33.48,-86.97,225371,266
35128,"AL",2009,33.56,-86.27,195795,203
35130,"AL",2009,33.64,-87.14,50017,52
35131,"AL",2009,33.74,-86.13,54311,76
35133,"AL",2009,33.84,-86.62,68031,65
35135,"AL",2009,33.62,-86.2,37071,46
35136,"AL",2009,32.88,-86.21,28487,27
35143,"AL",2009,33.07,-86.56,55575,62
35146,"AL",2009,33.77,-86.47,212846,184
35147,"AL",2009,33.43,-86.5,151422,100
35148,"AL",2009,33.75,-87.04,47336,43
35150,"AL",2009,33.17,-86.26,267589,280
35151,"AL",2009,33.08,-86.39,118428,138
35160,"AL",2009,33.43,-86.09,342160,516
35171,"AL",2009,32.91,-86.71,59470,24
35172,"AL",2009,33.82,-86.74,44883,36
35173,"AL",2009,33.63,-86.59,805784,532
35175,"AL",2009,34.4,-86.44,113471,148
35176,"AL",2009,33.48,-86.5,16690,0
35178,"AL",2009,33.38,-86.4,57086,71
35179,"AL",2009,34.26,-86.94,153165,190
35180,"AL",2009,33.81,-86.8,275543,237
35183,"AL",2009,33.02,-86.35,11908,0
35184,"AL",2009,33.11,-87.12,78241,64
35186,"AL",2009,33.23,-86.47,100130,104
35188,"AL",2009,33.16,-87.17,52570,50
35203,"AL",2009,33.52,-86.81,96791,19
35204,"AL",2009,33.52,-86.84,98033,100
35205,"AL",2009,33.49,-86.81,343761,154
35206,"AL",2009,33.57,-86.71,203654,218
35207,"AL",2009,33.57,-86.82,89762,84
35208,"AL",2009,33.5,-86.88,183614,246
35209,"AL",2009,33.47,-86.81,775051,416
35210,"AL",2009,33.54,-86.67,311738,293
35211,"AL",2009,33.46,-86.86,311106,307
35212,"AL",2009,33.55,-86.75,144420,112
35213,"AL",2009,33.51,-86.74,1063188,271
35214,"AL",2009,33.58,-86.89,315158,456
35215,"AL",2009,33.65,-86.71,664220,768
35216,"AL",2009,33.42,-86.79,1099851,567
35217,"AL",2009,33.61,-86.76,169244,162
35218,"AL",2009,33.51,-86.89,72256,98
35221,"AL",2009,33.45,-86.9,53172,78
35222,"AL",2009,33.52,-86.77,244735,156
35223,"AL",2009,33.49,-86.73,1237771,325
35224,"AL",2009,33.52,-86.94,67906,68
35226,"AL",2009,33.4,-86.85,1156920,768
35228,"AL",2009,33.46,-86.92,135420,219
35233,"AL",2009,33.52,-86.79,24159,0
35234,"AL",2009,33.54,-86.8,52412,42
35235,"AL",2009,33.62,-86.65,373591,420
35242,"AL",2009,33.42,-86.67,2382652,1000
35243,"AL",2009,33.44,-86.74,931567,379
35244,"AL",2009,33.35,-86.83,1192823,776
35401,"AL",2009,33.17,-87.62,295264,205
35404,"AL",2009,33.22,-87.48,292115,251
35405,"AL",2009,33.12,-87.54,708506,547
35406,"AL",2009,33.23,-87.54,616423,305
35441,"AL",2009,32.87,-87.73,16544,23
35442,"AL",2009,33.12,-88.15,61313,69
35443,"AL",2009,32.75,-88.02,34974,0
35444,"AL",2009,33.24,-87.32,68714,44
35446,"AL",2009,33.25,-87.73,32756,31
35447,"AL",2009,33.26,-88.09,46354,61
35452,"AL",2009,33.28,-87.67,73540,66
35453,"AL",2009,33.16,-87.36,193512,137
35456,"AL",2009,33.06,-87.42,65773,55
35458,"AL",2009,33.4,-87.81,8165,0
35459,"AL",2009,32.72,-88.31,9932,0
35460,"AL",2009,32.69,-88.12,5228,0
35461,"AL",2009,33.41,-88.21,27693,27
35462,"AL",2009,32.84,-87.89,74427,48
35463,"AL",2009,33.06,-87.68,29920,25
35464,"AL",2009,32.81,-88.15,5994,0
35466,"AL",2009,33.32,-87.9,96576,86
35469,"AL",2009,32.97,-87.8,4172,0
35470,"AL",2009,32.59,-88.18,68417,75
35473,"AL",2009,33.27,-87.58,321469,274
35474,"AL",2009,32.99,-87.63,110315,88
35475,"AL",2009,33.43,-87.59,394749,296
35476,"AL",2009,33.24,-87.59,119894,84
35480,"AL",2009,33.05,-87.76,28977,20
35481,"AL",2009,33.37,-88.01,49789,38
35490,"AL",2009,33.22,-87.24,70360,38
35501,"AL",2009,33.82,-87.29,141570,130
35503,"AL",2009,33.94,-87.3,142150,175
35504,"AL",2009,33.85,-87.27,277927,282
35540,"AL",2009,34.19,-87.17,31515,43
35541,"AL",2009,34.08,-87.21,59501,41
35542,"AL",2009,33.7,-87.68,16107,0
35543,"AL",2009,34.26,-87.71,12177,14
35544,"AL",2009,33.93,-88.02,7794,0
35546,"AL",2009,33.66,-87.6,53275,66
35548,"AL",2009,34.01,-87.77,21450,19
35549,"AL",2009,33.89,-87.52,52919,61
35550,"AL",2009,33.76,-87.19,76545,101
35552,"AL",2009,34.07,-88.14,11585,0
35553,"AL",2009,34.14,-87.4,60250,62
35554,"AL",2009,33.89,-87.67,17348,16
35555,"AL",2009,33.69,-87.83,141990,144
35563,"AL",2009,33.96,-87.91,60301,73
35564,"AL",2009,34.27,-87.83,25497,28
35565,"AL",2009,34.23,-87.61,169422,165
35570,"AL",2009,34.14,-87.98,141436,206
35571,"AL",2009,34.32,-87.92,11822,0
35572,"AL",2009,34.12,-87.25,16379,0
35574,"AL",2009,33.58,-87.98,23114,27
35575,"AL",2009,34.04,-87.54,13875,17
35576,"AL",2009,33.55,-88.08,43979,28
35578,"AL",2009,33.98,-87.48,67609,83
35579,"AL",2009,33.71,-87.38,44595,67
35580,"AL",2009,33.73,-87.28,62577,97
35581,"AL",2009,34.35,-87.7,63722,87
35582,"AL",2009,34.43,-88.13,73451,73
35585,"AL",2009,34.42,-87.83,22847,32
35586,"AL",2009,33.89,-88.13,56241,75
35587,"AL",2009,33.83,-87.44,13562,22
35592,"AL",2009,33.75,-88.11,65162,58
35593,"AL",2009,34.37,-88.05,22806,22
35594,"AL",2009,33.92,-87.79,121988,121
35601,"AL",2009,34.57,-86.98,588704,624
35603,"AL",2009,34.54,-86.97,769590,849
35610,"AL",2009,34.91,-87.27,29246,34
35611,"AL",2009,34.78,-86.95,420543,461
35613,"AL",2009,34.82,-86.88,523665,563
35614,"AL",2009,34.85,-86.99,119332,135
35616,"AL",2009,34.75,-87.96,57765,93
35618,"AL",2009,34.66,-87.31,33087,43
35619,"AL",2009,34.39,-87.12,83224,111
35620,"AL",2009,34.92,-86.97,150636,221
35621,"AL",2009,34.33,-86.75,47583,77
35622,"AL",2009,34.37,-86.9,99090,132
35630,"AL",2009,34.82,-87.66,478003,526
35633,"AL",2009,34.88,-87.8,380138,530
35634,"AL",2009,34.92,-87.61,269921,310
35640,"AL",2009,34.43,-86.93,495831,572
35643,"AL",2009,34.63,-87.18,48676,105
35645,"AL",2009,34.86,-87.52,303767,433
35646,"AL",2009,34.69,-87.53,72872,99
35647,"AL",2009,34.98,-87.14,17821,18
35648,"AL",2009,34.96,-87.37,64258,145
35650,"AL",2009,34.48,-87.28,226073,381
35651,"AL",2009,34.4,-87.44,17270,31
35652,"AL",2009,34.82,-87.28,144912,194
35653,"AL",2009,34.5,-87.72,190086,189
35654,"AL",2009,34.5,-87.63,112586,121
35660,"AL",2009,34.75,-87.7,136830,208
35661,"AL",2009,34.74,-87.64,380853,537
35670,"AL",2009,34.47,-86.8,137245,195
35671,"AL",2009,34.66,-86.95,42656,35
35672,"AL",2009,34.67,-87.4,101314,174
35673,"AL",2009,34.59,-87.08,152099,247
35674,"AL",2009,34.72,-87.7,315236,431
35677,"AL",2009,34.91,-88.06,26249,35
35739,"AL",2009,34.98,-86.83,88105,118
35740,"AL",2009,34.94,-85.71,51534,65
35741,"AL",2009,34.72,-86.48,127672,124
35744,"AL",2009,34.6,-85.91,32340,33
35746,"AL",2009,34.83,-85.98,11125,14
35747,"AL",2009,34.51,-86.25,102819,193
35748,"AL",2009,34.7,-86.37,155044,151
35749,"AL",2009,34.85,-86.74,597243,636
35750,"AL",2009,34.92,-86.56,255420,409
35752,"AL",2009,34.71,-85.96,33214,45
35754,"AL",2009,34.53,-86.6,105699,147
35755,"AL",2009,34.53,-86.09,10592,28
35756,"AL",2009,34.64,-86.82,285012,204
35757,"AL",2009,34.78,-86.75,404672,388
35758,"AL",2009,34.7,-86.74,1527251,1484
35759,"AL",2009,34.87,-86.57,200431,263
35760,"AL",2009,34.53,-86.41,91476,160
35761,"AL",2009,34.9,-86.42,249943,211
35763,"AL",2009,34.6,-86.46,581399,465
35764,"AL",2009,34.73,-86.31,8936,0
35765,"AL",2009,34.68,-85.84,49823,80
35766,"AL",2009,34.83,-86.22,3236,0
35768,"AL",2009,34.77,-86.1,199574,278
35769,"AL",2009,34.64,-86.04,220845,350
35771,"AL",2009,34.58,-85.98,48829,74
35772,"AL",2009,34.87,-85.83,73166,91
35773,"AL",2009,34.9,-86.72,254625,270
35775,"AL",2009,34.55,-86.69,10502,0
35776,"AL",2009,34.62,-86.28,54585,105
35801,"AL",2009,34.73,-86.56,977756,832
35802,"AL",2009,34.67,-86.56,835982,864
35803,"AL",2009,34.56,-86.52,885209,1070
35805,"AL",2009,34.7,-86.62,225808,184
35806,"AL",2009,34.76,-86.69,583341,585
35808,"AL",2009,34.63,-86.66,24513,0
35810,"AL",2009,34.8,-86.6,458742,639
35811,"AL",2009,34.8,-86.51,643724,778
35816,"AL",2009,34.74,-86.63,156510,145
35824,"AL",2009,34.64,-86.75,194903,111
35901,"AL",2009,34.01,-86.01,349878,400
35903,"AL",2009,34.02,-85.86,255163,417
35904,"AL",2009,34.08,-85.99,185957,275
35905,"AL",2009,33.96,-85.92,115483,185
35906,"AL",2009,33.92,-86.08,204469,241
35907,"AL",2009,33.89,-86.02,196685,262
35950,"AL",2009,34.26,-86.2,335117,416
