zip,latlong
60632,"41.81152,-87.71372"
60652,"41.74613,-87.71199"
60620,"41.74037,-87.65342"
60639,"41.92039,-87.75599"
60651,"41.90235,-87.74107"
60644,"41.88019,-87.75742"
60641,"41.94601,-87.74676"
60647,"41.92105,-87.70236"
60618,"41.94657,-87.70288"
60634,"41.94631,-87.81055"
60643,"41.68946,-87.66161"
60608,"41.84884,-87.67125"
60609,"41.81238,-87.65533"
60619,"41.74387,-87.60523"
60629,"41.77443,-87.71273"
60636,"41.77582,-87.66899"
60638,"41.78701,-87.77166"
60707,"41.92320,-87.80919"
60612,"41.88115,-87.68652"
60617,"41.70600,-87.56277"
60660,"41.99082,-87.66497"
60640,"41.96937,-87.65542"
60631,"41.99922,-87.82192"
60621,"41.77615,-87.63977"
60653,"41.82034,-87.60675"
60637,"41.78039,-87.59695"
60624,"41.88072,-87.72334"
60615,"41.80220,-87.60058"
60630,"41.97412,-87.75779"
60613,"41.95202,-87.65598"
60657,"41.94143,-87.65446"
60614,"41.92207,-87.64932"
60610,"41.90014,-87.63591"
60659,"41.98860,-87.70181"
60625,"41.97200,-87.70366"
60622,"41.90362,-87.67588"
60605,"41.86467,-87.61999"
60670,"41.88115, -87.63983"
60628,"41.68978,-87.61400"
60654,"41.88807,-87.63544"
60661,"41.88287,-87.64355"
60623,"41.84783,-87.71739"
60646,"41.99975,-87.75847"
60656,"41.96773,-87.82485"
60827,"41.65365,-87.62524"
60626,"42.01063,-87.66831"
60649,"41.76615,-87.56346"
60616,"41.84582,-87.62474"
60607,"41.87447,-87.65006"
60642,"41.90329,-87.66058"
60804,"41.84024,-87.75875"
60633,"41.65733,-87.56332"
60681,"41.88059, -87.61972"
60714,"42.02955,-87.81117"
60645,"42.00844,-87.69511"
60455,"41.73701,-87.80485"
60611,"41.89570,-87.61356"
60453,"41.70891,-87.75952"
60706,"41.96372,-87.81657"
60655,"41.69534,-87.71016"
60686,"41.85063,-87.64996"
60668,"41.88000,-87.63003"
60018,"41.99862,-87.89859"
60501,"41.77967,-87.82694"
60171,"41.92299,-87.83988"
60068,"42.01579,-87.84283"
60803,"41.67096,-87.73705"
60606,"41.88293,-87.63684"
60406,"41.65123,-87.68227"
60601,"41.88502,-87.62239"
60602,"41.88323,-87.62726"
